Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"155,130,821","17,889,686,277.72",13.407,Apple Inc,Common Stock,Information Technology,10/29/2020
QQQ,023135106,AMZN ,"4,543,339","14,588,706,962.39",10.933,Amazon.com Inc,Common Stock,Consumer Discretionary,10/29/2020
QQQ,594918104,MSFT ,"68,643,376","14,052,671,934.72",10.532,Microsoft Corp,Common Stock,Information Technology,10/29/2020
QQQ,30303M102,FB ,"21,808,411","6,124,456,061.13",4.590,Facebook Inc,Common Stock,Communication Services,10/29/2020
QQQ,02079K305,GOOGL ,"3,127,078","4,868,485,196.64",3.649,Alphabet Inc,Common Stock,Communication Services,10/29/2020
QQQ,02079K107,GOOG ,"3,026,147","4,742,698,624.28",3.554,Alphabet Inc,Common Stock,Communication Services,10/29/2020
QQQ,88160R101,TSLA ,"10,781,622","4,429,413,766.26",3.320,Tesla Inc,Common Stock,Consumer Discretionary,10/29/2020
QQQ,67066G104,NVDA ,"7,139,005","3,719,136,044.80",2.787,NVIDIA Corp,Common Stock,Information Technology,10/29/2020
QQQ,70450Y103,PYPL ,"13,575,821","2,647,828,127.84",1.984,PayPal Holdings Inc,Common Stock,Information Technology,10/29/2020
QQQ,64110L106,NFLX ,"5,102,759","2,572,862,115.39",1.928,Netflix Inc,Common Stock,Communication Services,10/29/2020
QQQ,00724F101,ADBE ,"5,550,033","2,559,175,716.63",1.918,Adobe Inc,Common Stock,Information Technology,10/29/2020
QQQ,20030N101,CMCSA ,"52,746,340","2,271,257,400.40",1.702,Comcast Corp,Common Stock,Communication Services,10/29/2020
QQQ,458140100,INTC ,"49,209,800","2,170,644,278.00",1.627,Intel Corp,Common Stock,Information Technology,10/29/2020
QQQ,713448108,PEP ,"16,020,975","2,146,650,440.25",1.609,PepsiCo Inc,Common Stock,Consumer Staples,10/29/2020
QQQ,22160K105,COST ,"5,108,696","1,863,958,822.56",1.397,Costco Wholesale Corp,Common Stock,Consumer Staples,10/29/2020
QQQ,17275R102,CSCO ,"48,854,504","1,743,617,247.76",1.307,Cisco Systems Inc,Common Stock,Information Technology,10/29/2020
QQQ,747525103,QCOM ,"13,054,768","1,650,644,865.92",1.237,QUALCOMM Inc,Common Stock,Information Technology,10/29/2020
QQQ,11135F101,AVGO ,"4,625,895","1,642,238,983.95",1.231,Broadcom Inc,Common Stock,Information Technology,10/29/2020
QQQ,872590104,TMUS ,"14,322,202","1,568,424,341.02",1.175,T-Mobile US Inc,Common Stock,Communication Services,10/29/2020
QQQ,882508104,TXN ,"10,598,052","1,549,329,221.88",1.161,Texas Instruments Inc,Common Stock,Information Technology,10/29/2020
QQQ,031162100,AMGN ,"6,776,873","1,476,138,476.86",1.106,Amgen Inc,Common Stock,Health Care,10/29/2020
QQQ,16119P108,CHTR ,"2,370,734","1,365,542,784.00",1.023,Charter Communications Inc,Common Stock,Communication Services,10/29/2020
QQQ,855244109,SBUX ,"13,526,074","1,194,352,334.20",0.895,Starbucks Corp,Common Stock,Consumer Discretionary,10/29/2020
QQQ,007903107,AMD ,"13,584,592","1,059,869,867.84",0.794,Advanced Micro Devices Inc,Common Stock,Information Technology,10/29/2020
QQQ,98980L101,ZM ,"2,107,145","1,031,826,763.60",0.773,Zoom Video Communications Inc,Common Stock,Information Technology,10/29/2020
QQQ,461202103,INTU ,"3,029,243","986,351,813.23",0.739,Intuit Inc,Common Stock,Information Technology,10/29/2020
QQQ,46120E602,ISRG ,"1,354,125","929,308,905.00",0.696,Intuitive Surgical Inc,Common Stock,Health Care,10/29/2020
QQQ,47215P106,JD ,"10,620,263","881,906,639.52",0.661,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/29/2020
QQQ,609207105,MDLZ ,"16,526,759","879,058,311.21",0.659,Mondelez International Inc,Common Stock,Consumer Staples,10/29/2020
QQQ,375558103,GILD ,"14,506,296","849,053,504.88",0.636,Gilead Sciences Inc,Common Stock,Health Care,10/29/2020
QQQ,053015103,ADP ,"4,974,989","786,993,509.91",0.590,Automatic Data Processing Inc,Common Stock,Information Technology,10/29/2020
QQQ,09857L108,BKNG ,"473,820","772,449,793.20",0.579,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/29/2020
QQQ,58733R102,MELI ,"575,088","748,177,986.24",0.561,MercadoLibre Inc,Common Stock,Consumer Discretionary,10/29/2020
QQQ,337738108,FISV ,"7,748,223","742,047,316.71",0.556,Fiserv Inc,Common Stock,Information Technology,10/29/2020
QQQ,00507V109,ATVI ,"8,931,038","694,566,825.26",0.521,Activision Blizzard Inc,Common Stock,Communication Services,10/29/2020
QQQ,126408103,CSX ,"8,852,169","689,495,443.41",0.517,CSX Corp,Common Stock,Industrials,10/29/2020
QQQ,75886F107,REGN ,"1,209,703","672,340,830.37",0.504,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/29/2020
QQQ,595112103,MU ,"12,854,921","648,916,412.08",0.486,Micron Technology Inc,Common Stock,Information Technology,10/29/2020
QQQ,038222105,AMAT ,"10,567,222","628,749,709.00",0.471,Applied Materials Inc,Common Stock,Information Technology,10/29/2020
QQQ,92532F100,VRTX ,"3,013,824","623,891,706.24",0.468,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/29/2020
