Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-10,168.91,169.12,162,163.47,3240458,0.0
2016-11-11,162.83,164.43,159.54,163.025,2405086,0.0
2016-11-14,160.61,164.73,160.61,161.73,1507360,0.0
2016-11-15,163.99,167.98,163.8,164.57,1439533,0.0
2016-11-16,164.21,168.4087,163.14,166.7389,1656089,0.0
2016-11-17,167.51,168.35,165.52,166.21,1168617,0.0
2016-11-18,165.93,167,163.925,164.38,1203387,0.0
2016-11-21,165,167.25,164.5,165.69,1001165,0.0
2016-11-22,167.5,167.5,163.56,164.47,1326032,0.0
2016-11-23,163.36,164.64,161.69,163.61,1163467,0.0
2016-11-25,165,165.6,163.62,164.46,791983,0.0
2016-11-28,165.13,168,164.06,167.02,1706119,0.0
2016-11-29,166.01,171.24,166,169.17,1906705,0.0
2016-11-30,169.99,171.545,166.491,166.96,1866796,0.0
2016-12-01,167.52,167.82,161.8,162.9,1700518,0.0
2016-12-02,162.95,163.88,160.79,161.67,1542015,0.0
2016-12-05,161.72,165.39,161.5592,164.31,1058562,0.0
2016-12-06,165.01,165.74,163.55,165.2,1026893,0.0
2016-12-07,165.54,169.56,164.37,169.33,1364185,0.0
2016-12-08,168.92,169.74,166.3323,167.74,1457302,0.0
2016-12-09,168.49,171.1,168.34,170.72,1994920,0.0
2016-12-12,168.63,169.28,167.01,168.48,2096496,0.0
2016-12-13,169.23,173,169,171.46,2480285,0.0
2016-12-14,170.42,172.54,169.63,169.82,1242671,0.0
2016-12-15,169.21,169.625,165.62,165.76,1490311,0.0
2016-12-16,166.42,167.92,164.65,164.94,1634797,0.0
2016-12-19,164.44,164.93,162.34,163.69,1584437,0.0
2016-12-20,164.26,167.01,164.0001,165.28,1199402,0.0
2016-12-21,165,165.99,163.8,163.92,1098393,0.0
2016-12-22,163.29,165.265,162.0201,162.9,1210435,0.0
2016-12-23,163.28,164.62,162.53,163.62,789557,0.0
2016-12-27,163.63,166.47,163.07,164.78,765755,0.0
2016-12-28,165.12,167.01,164.76,165.54,1373156,0.0
2016-12-29,165.61,167.59,165.46,166.5,1330807,0.0
2016-12-30,166.76,167.234,163.56,164.41,1148158,0.0
2017-01-03,166.3,169.66,165.82,168.3,1871845,0.0
2017-01-04,169.74,173.26,168.3,171.97,1620539,0.0
2017-01-05,172.77,177.84,172.5,177.47,2289569,0.0
2017-01-06,176.39,177.28,173.25,176.36,1614844,0.0
2017-01-09,178,179.72,176.82,177.18,1289509,0.0
2017-01-10,179.57,183,178.3,180.31,2370289,0.0
2017-01-11,179.57,180.18,176.8,179.31,1572661,0.0
2017-01-12,178.8,179.47,175.66,177.58,2308183,0.0
2017-01-13,178,178.71,176.36,176.55,1131980,0.0
2017-01-17,175.58,178.28,174.49,176.98,1345884,0.0
2017-01-18,178.59,180.78,174.73,176.54,1388723,0.0
2017-01-19,176.84,176.84,174.43,176.07,1165441,0.0
2017-01-20,175.3,176.455,173.13,173.43,1666626,0.0
2017-01-23,173.94,176.18,173.28,175.915,1750046,0.0
2017-01-24,177.7,179,175.5,176.05,1289300,0.0
2017-01-25,177.4,179,176.25,176.58,1744923,0.0
2017-01-26,177.65,177.67,174.65,174.95,1528600,0.0
2017-01-27,175,175,173.22,174.11,1172808,0.0
2017-01-30,173.16,174.97,171.72,174.73,1068151,0.0
2017-01-31,173.68,176.18,173.01,175.22,919464,0.0
2017-02-01,176.73,176.73,172.55,173.85,916942,0.0
2017-02-02,173.51,175.18,172.46,173.3,729503,0.0
2017-02-03,174.96,176.59,173.56,175.2,1229524,0.0
2017-02-06,175.79,179.0795,175.15,177.81,1310238,0.0
2017-02-07,179.58,179.6,176.75,178.26,1237743,0.0
2017-02-08,179.16,182.41,177.53,181.5,1713303,0.0
2017-02-09,181.23,183.46,181.06,181.5,1439876,0.0
2017-02-10,182.58,184.16,181.21,183.86,1706505,0.0
2017-02-13,184.5,185.44,183.33,184.31,2072965,0.0
2017-02-14,184.01,185.66,182.28,182.76,1569011,0.0
2017-02-15,183.65,185.14,182.81,183.58,930683,0.0
2017-02-16,183.68,186.75,182.77,185,1870753,0.0
2017-02-17,183.92,185.21,183.33,185.18,1303029,0.0
2017-02-21,185.23,185.93,183.3122,185.63,2854415,0.0
2017-02-22,185,187.98,184.97,186,2283299,0.0
2017-02-23,187.89,188.54,183.9101,184.63,2923624,0.0
2017-02-24,181.01,181.57,173.91,175.14,6452606,0.0
2017-02-27,175.17,176.28,171.73,172.94,2881839,0.0
2017-02-28,172.8,175.9199,172.8,174.13,1918520,0.0
2017-03-01,176.44,176.79,175.13,175.32,1430215,0.0
2017-03-02,175.33,176.49,172.97,174.35,1699950,0.0
2017-03-03,174.53,175.705,173.28,173.79,886743,0.0
2017-03-06,174.15,174.15,172.38,173.3,889453,0.0
2017-03-07,172.77,174,171.24,173.74,953756,0.0
2017-03-08,173.81,175.3,173.3,173.88,978467,0.0
2017-03-09,174.03,175.2,172.94,173.28,1614541,0.0
2017-03-10,173.55,173.91,171.93,172.7,1434996,0.0
2017-03-13,172.89,174.11,172.5,173.2,1241675,0.0
2017-03-14,173,173.4999,172.01,172.81,790083,0.0
2017-03-15,173.01,173.31,170.42,171.99,2172240,0.0
2017-03-16,173.54,177.55,173.4,176.58,3449353,0.0
2017-03-17,176.89,178.86,176.18,176.55,1498224,0.0
2017-03-20,177.1,177.86,174.59,176.13,1476853,0.0
2017-03-21,177.5,177.7,170.27,171.27,2592625,0.0
2017-03-22,169.82,169.82,167.75,169.56,2966286,0.0
2017-03-23,168.75,170.02,167.25,169.61,2369052,0.0
2017-03-24,170.51,170.51,167.85,168.15,1726319,0.0
2017-03-27,166.23,170.67,166,168.94,1709977,0.0
2017-03-28,168.93,170.67,168.58,169.79,1750126,0.0
2017-03-29,170,172.1,169.34,170.67,1197848,0.0
2017-03-30,171.71,172.62,171.17,172.38,2019978,0.0
2017-03-31,171.46,173.95,171.46,172.51,1924141,0.0
2017-04-03,173,175.9,173,174.99,1856708,0.0
2017-04-04,174.76,176.662,174.13,175.2,1513237,0.0
2017-04-05,175.35,176.31,172.46,172.92,1758409,0.0
2017-04-06,173.8,174.73,173.04,173.39,1212439,0.0
2017-04-07,173.68,173.94,171.17,172.43,1653923,0.0
2017-04-10,172.3,174.675,172.17,174.21,1313574,0.0
2017-04-11,173.97,175.24,172.58,173.01,1513276,0.0
2017-04-12,172.47,174.87,172.33,173.62,949493,0.0
2017-04-13,173.55,174.76,172.46,172.6,1085577,0.0
2017-04-17,172.61,173.8,172.61,173.31,1137501,0.0
2017-04-18,173.31,174.56,172.07,174.47,1521986,0.0
2017-04-19,175.62,181.18,175.38,177.82,3335961,0.0
2017-04-20,178.99,180.38,178.41,178.64,2024683,0.0
2017-04-21,180.4,180.4,177.8601,178.03,1293503,0.0
2017-04-24,180,180.65,179.54,180.09,1554586,0.0
2017-04-25,182.86,187.5,182.33,187.02,3041140,0.0
2017-04-26,187.9,188,184.9,186.67,2208387,0.0
2017-04-27,187.81,188.599,186.1,187.86,2169606,0.0
2017-04-28,181.14,182.96,176.07,180.22,6062040,0.0
2017-05-01,180.45,181.17,177.19,179.92,2971051,0.0
2017-05-02,180.1,180.4,178,178.51,1970880,0.0
2017-05-03,179,179.01,176.9,177.29,1562848,0.0
2017-05-04,177.89,178,176.28,176.65,1747245,0.0
2017-05-05,176.3,178.3,174.77,178.06,1846394,0.0
2017-05-08,178.5,178.54,176.68,177.47,1237227,0.0
2017-05-09,178.9,183.59,178.36,183.1,2815552,0.0
2017-05-10,182.37,184.93,181.62,183.63,2455477,0.0
2017-05-11,183.54,187.33,182.96,186.62,2612549,0.0
2017-05-12,186.25,187.98,185.67,186.76,1441383,0.0
2017-05-15,187.08,187.46,185.24,186.08,1620778,0.0
2017-05-16,186.83,192.37,186.387,190.68,3200741,0.0
2017-05-17,187.97,190.71,185.68,185.98,2873508,0.0
2017-05-18,182.68,183.62,181.29,182.37,3951737,0.0
2017-05-19,183.17,189.42,182.89,188.76,3162828,0.0
2017-05-22,190,193.5599,188.08,191.73,2381455,0.0
2017-05-23,192.73,193.56,190.37,191.87,1794882,0.0
2017-05-24,191.03,191.99,189.97,190.64,2143454,0.0
2017-05-25,191.23,193,189.83,191.94,1852945,0.0
2017-05-26,192.78,193.74,190.09,190.41,1197508,0.0
2017-05-30,190.94,192.289,189.36,189.87,1527596,0.0
2017-05-31,189.95,190.49,184.32,186.24,2568781,0.0
2017-06-01,186.15,188.1,185.59,187.22,1655721,0.0
2017-06-02,188.6,189.25,187,187.6,896402,0.0
2017-06-05,188.71,188.71,185.21,187.3,1044952,0.0
2017-06-06,186.73,187.2,184.51,185.64,1696979,0.0
2017-06-07,186.24,188.585,184.75,187.63,1801811,0.0
2017-06-08,191.6,192.38,183.68,185.75,4108578,0.0
2017-06-09,186.03,186.1,178.21,181.03,3227538,0.0
2017-06-12,180,182.15,177.31,180.05,2411209,0.0
2017-06-13,181.52,181.52,177.24,179.11,1897947,0.0
2017-06-14,180.6,180.82,176.2,178.16,1600928,0.0
2017-06-15,176.19,176.99,173.52,176.16,2022024,0.0
2017-06-16,176.41,176.41,173.66,173.9,1746478,0.0
2017-06-19,176.38,179.23,175.8001,176.9,1957610,0.0
2017-06-20,177.69,178.42,176.93,177.85,1270586,0.0
2017-06-21,179.14,181,177.93,180.17,1611915,0.0
2017-06-22,179.25,180.714,177.99,179.25,1396328,0.0
2017-06-23,180.32,180.55,177.61,178.17,1435102,0.0
2017-06-26,180.59,181.74,178.35,178.46,1616099,0.0
2017-06-27,178.52,178.65,175.1,175.6,1902172,0.0
2017-06-28,177,178.72,175.83,178.01,2075081,0.0
2017-06-29,177.54,180.455,177.22,179.63,2517859,0.0
2017-06-30,180.44,180.88,178.3101,178.88,1689946,0.0
2017-07-03,179.9,183.5,179.63,179.92,1546920,0.0
2017-07-05,186.37,187.25,182.17,183.85,3482029,0.0
2017-07-06,183.54,183.89,180.678,181.79,1842979,0.0
2017-07-07,181.79,182.78,179.92,181.4003,1127371,0.0
2017-07-10,182.31,183.94,181.59,182.96,1127340,0.0
2017-07-11,183.2,184.56,181.83,184.42,1193419,0.0
2017-07-12,185.81,187.56,185.26,186.82,1514033,0.0
2017-07-13,187.1,188.98,186.15,186.94,1744004,0.0
2017-07-14,187.99,189,187.525,188.56,1316451,0.0
2017-07-17,189.12,191.779,186.89,188.24,2279913,0.0
2017-07-18,187.23,190.1,186.69,189.6,1347965,0.0
2017-07-19,190.8,192.35,189.56,190.92,1650703,0.0
2017-07-20,192.26,192.86,190.79,191.31,1189581,0.0
2017-07-21,190.96,193.2,190.56,193.19,1466157,0.0
2017-07-24,193.975,199.25,193.02,198.63,3190464,0.0
2017-07-25,198.5,198.65,195.97,197.15,2166833,0.0
2017-07-26,197.45,201.23,196.75,201.19,2831661,0.0
2017-07-27,204.01,205.6,197.11,200.86,3975854,0.0
2017-07-28,211.01,225.6,208.8,220.01,10341471,0.0
2017-07-31,224,230,223.0519,226.41,6862692,0.0
2017-08-01,227.14,227.98,222.17,225.71,3455994,0.0
2017-08-02,224.12,224.64,218.58,221.85,2920862,0.0
2017-08-03,221,227.9699,220.551,227.43,2292882,0.0
2017-08-04,227.28,230.34,225.7,225.91,2767380,0.0
2017-08-07,225.6,228.99,224.77,227.24,2136786,0.0
2017-08-08,226.6,233.37,226.54,229.61,3109863,0.0
2017-08-09,227.19,230.49,225.36,230.3,1893609,0.0
2017-08-10,227.5,228.99,220.47,222.52,3049684,0.0
2017-08-11,218.61,224.66,216.2,223.49,2586173,0.0
2017-08-14,223.51,224.77,221,223.68,1866877,0.0
2017-08-15,226.1,227.66,223.57,225.37,1703805,0.0
2017-08-16,228,228.98,225.71,226.13,1748908,0.0
2017-08-17,226.42,227.0193,220.36,221,1993088,0.0
2017-08-18,220.77,221.19,218.5,220.7,2512334,0.0
2017-08-21,223.5,227.9492,221.88,222.48,2118913,0.0
2017-08-22,224.49,226.49,222.775,226.11,1898596,0.0
2017-08-23,224.85,225.71,223.63,224.98,1490616,0.0
2017-08-24,226.12,226.7499,224.11,224.87,1572959,0.0
2017-08-25,224.96,229.43,224.44,225.54,1771088,0.0
2017-08-28,225.92,226.79,219.36,219.86,2318348,0.0
2017-08-29,216,221.7,213.528,220.66,1564810,0.0
2017-08-30,221.8,224.71,220.36,223.89,1287492,0.0
2017-08-31,224,228.68,222.61,228.04,1735538,0.0
2017-09-01,228.26,233.79,226.61,232.67,2038667,0.0
2017-09-05,231.29,232.47,224.58,225.22,2429616,0.0
2017-09-06,226,228.96,223.54,226.92,1542610,0.0
2017-09-07,226,233.54,225.71,233.16,1854794,0.0
2017-09-08,232.78,235,228.73,229.17,1321567,0.0
2017-09-11,232.39,234.62,232.21,233.55,1402236,0.0
2017-09-12,234.95,237.93,233.84,237.68,1856791,0.0
2017-09-13,237.57,239,235.45,236.41,2159382,0.0
2017-09-14,235,238.46,234.8,237.32,1911014,0.0
2017-09-15,237.87,239.16,235.31,235.72,2307482,0.0
2017-09-18,236.79,240.43,235.58,239.06,2315441,0.0
2017-09-19,239.03,240.125,235.7,237.84,1671786,0.0
2017-09-20,238.5,240.4,235.51,237.92,1122483,0.0
2017-09-21,239.21,239.69,235.35,238.92,1418765,0.0
2017-09-22,237.82,242.7,237.19,240.56,1479036,0.0
2017-09-25,239.87,239.9,230.58,234.42,2695490,0.0
2017-09-26,236.29,240,234.99,236.2,1626805,0.0
