Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-09,102.41,107.4,101.73,106.33,560224,0.0
2016-11-10,106.53,108.39,106.2,107.98,494251,0.0
2016-11-11,107.29,108.59,106.97,107.54,434301,0.0
2016-11-14,107.97,109.21,107.04,109.04,497011,0.0
2016-11-15,109.36,109.56,108.36,109.15,273071,0.0
2016-11-16,108.74,109.07,107.31,107.81,296434,0.0
2016-11-17,107.83,110.7,107.8,110.4,397802,0.0
2016-11-18,110.37,111.77,109.74,111.71,564281,0.0
2016-11-21,111.98,112.81,110.985,112.79,405701,0.0
2016-11-22,112.81,114.2821,112.34,113.6,517939,0.0
2016-11-23,113.82,115.72,113.82,115.32,391549,0.0
2016-11-25,115.77,116.5,115.07,116.5,173337,0.0
2016-11-28,116.17,116.59,115.8,116.13,430581,0.0
2016-11-29,116.18,116.27,115.52,115.57,363855,0.0
2016-11-30,115.61,115.75,114.38,114.6,308843,0.0
2016-12-01,114.61,116.01,114.21,115.89,391092,0.0
2016-12-02,115.73,116.81,115.364,116.64,345128,0.0
2016-12-05,117,118.18,116.7001,118.05,455590,0.0
2016-12-06,117.89,118.46,116.84,117.12,351411,0.0
2016-12-07,117.36,120.497,117.16,120.37,260991,0.0
2016-12-08,120.07,120.9,119.35,120.55,329806,0.0
2016-12-09,120.37,120.925,119.11,120.7,293138,0.0
2016-12-12,120.73,121.28,120.05,120.38,392389,0.0
2016-12-13,120.59,120.87,118.37,120.55,424395,0.0
2016-12-14,120.81,121.42,119.43,119.53,421080,0.0
2016-12-15,121,122.21,118.52,120.01,413920,0.0
2016-12-16,120.19,120.59,119.22,119.7,912024,0.0
2016-12-19,120.34,121.14,119.99,120.15,596697,0.0
2016-12-20,120.2,120.49,119.44,119.78,314507,0.0
2016-12-21,119.97,120.255,118.01,118.22,400556,0.0
2016-12-22,118.83,120.22,117.85,120.04,724458,0.0
2016-12-23,117.08,117.39,113,116.36,1984986,0.0
2016-12-27,116.38,117,116.02,116.54,454094,0.0
2016-12-28,116.58,116.91,114.22,114.35,331399,0.0
2016-12-29,114.27,116.53,114.2,115.06,365759,0.0
2016-12-30,115.32,116.3599,114.38,115.56,410961,0.0
2017-01-03,116.37,117.06,114.79,115.06,586021,0.0
2017-01-04,115,117.63,114.85,117.29,428567,0.0
2017-01-05,116.89,117.71,114.96,115.02,337482,0.0
2017-01-06,115.26,116.94,114.54,116.69,288162,0.0
2017-01-09,116.47,116.47,115.04,115.48,340536,0.0
2017-01-10,115.22,115.42,114.74,114.78,575111,0.0
2017-01-11,114.24,115.56,114.24,115.32,271954,0.0
