Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-08,75.53,76.05,75,75.81,1738257,0.0
2016-11-09,72.85,76.19,72.55,76.04,2973904,0.0
2016-11-10,76.47,78,76.16,77.2,2721770,0.0
2016-11-11,77.04,78.73,76.93,77.81,1578850,0.0
2016-11-14,78.02,79.51,77.615,78.34,2375593,0.0
2016-11-15,78.69,79.25,77.97,79.18,2484395,0.0
2016-11-16,79.87,81.34,79.65,80.54,3321519,0.0
2016-11-17,79.82,81.925,79.73,81.65,2998583,0.0
2016-11-18,81.53,82.14,80.68,81.92,3054948,0.0
2016-11-21,81.97,83.13,80.88,82,5700356,0.0
2016-11-22,88.31,91.41,87.6,88.69,10899219,0.0
2016-11-23,88.66,89.89,87.51,88.86,3286345,0.0
2016-11-25,88.51,89.54,88.4,89.18,871561,0.0
2016-11-28,88.7,90.17,88.25,89.59,2796647,0.0
2016-11-29,89.98,90.61,89.29,89.67,2322573,0.0
2016-11-30,89.29,89.96,88.04,88.16,2603137,0.0
2016-12-01,86.98,88.07,86.09,86.57,3670893,0.0
2016-12-02,86.82,88.509,86.05,87.76,1626431,0.0
2016-12-05,88.42,88.76,87.04,88.2,2965835,0.0
2016-12-06,88.96,88.975,87.535,87.93,1954966,0.0
2016-12-07,87.4,88.22,87.03,87.84,2674192,0.0
2016-12-08,87.84,87.875,86.72,87.12,2725632,0.0
2016-12-09,87.02,88.13,86.55,87.74,1261414,0.0
2016-12-12,87.56,87.94,86.06,86.09,1675603,0.0
2016-12-13,86.17,86.81,85.41,86.16,1774796,0.0
2016-12-14,86.45,86.62,84.62,84.72,2505762,0.0
2016-12-15,84.83,86.11,84.32,85.7,1782111,0.0
2016-12-16,85.61,85.85,84.035,84.2,2820587,0.0
2016-12-19,84.2,85.33,83.805,84.26,1372058,0.0
2016-12-20,84.42,85.83,84.35,85.07,1022511,0.0
2016-12-21,84.68,85.05,83.28,84.05,1427738,0.0
2016-12-22,84.02,84.02,78.94,79.31,5113042,0.0
2016-12-23,79.46,80.21,78.38,78.7,1794211,0.0
2016-12-27,78.97,79.7395,74.92,78.11,1919925,0.0
2016-12-28,78.54,79.17,77.4,77.67,1395412,0.0
2016-12-29,77.65,78.0798,76.81,77.34,1329140,0.0
2016-12-30,77.57,77.722,76.42,77.18,1229295,0.0
2017-01-03,77.57,78.14,76.415,77.45,2002620,0.0
2017-01-04,77.52,80.23,77.52,79.45,2659978,0.0
2017-01-05,78.42,79.5847,77.59,78.05,2347588,0.0
2017-01-06,78.17,78.44,76.94,77.09,2669617,0.0
2017-01-09,76.74,77.36,76.66,77.14,1596147,0.0
2017-01-10,77.05,78.4,76.75,77.96,1962448,0.0
2017-01-11,77.7,78.4,77.4358,77.82,1027236,0.0
2017-01-12,77.81,77.81,76.92,77.52,1327967,0.0
2017-01-13,77.49,77.71,76.88,77.11,1326796,0.0
2017-01-17,77.77,81.92,77.24,79.51,4418160,0.0
2017-01-18,78.51,79.12,76.4,77.31,3687459,0.0
2017-01-19,77.23,77.49,76.05,76.27,1572348,0.0
