Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-10,34.95,34.95,34.025,34.5,23863339,0.0
2016-11-11,34.57,34.87,34.34,34.61,18245520,0.0
2016-11-14,34.56,34.73,34.2,34.48,18529476,0.0
2016-11-15,34.64,35.29,34.61,34.91,16804791,0.0
2016-11-16,34.9,34.92,34.54,34.83,13700761,0.0
2016-11-17,34.89,35.02,34.63,35.02,12627611,0.0
2016-11-18,34.95,35,34.64,34.95,11731065,0.0
2016-11-21,35.1,35.2,34.84,34.99,11812941,0.0
2016-11-22,35.18,35.5,35.11,35.48,16654692,0.0
2016-11-23,35.48,35.52,35.1,35.19,12710361,0.0
2016-11-25,35.11,35.45,35.11,35.43,4561614,0.0
2016-11-28,35.39,35.66,35.21,35.51,9724158,0.0
2016-11-29,35.64,35.64,35.27,35.3,16673815,0.0
2016-11-30,35.2,35.3,34.7,34.7,19058300,0.0
2016-12-01,34.86,34.93,33.56,33.76,25030071,0.0
2016-12-02,33.72,34.26,33.6,34.16,18216690,0.0
2016-12-05,34.33,34.42,33.965,34.39,10852250,0.0
2016-12-06,34.39,34.75,34.3,34.72,11628655,0.0
2016-12-07,34.67,35.57,34.45,35.49,17322648,0.0
2016-12-08,35.48,36.03,35.22,35.69,17465293,0.0
2016-12-09,35.75,35.9,35.59,35.77,13873265,0.0
2016-12-12,35.75,36.09,35.67,35.97,18936136,0.0
2016-12-13,36.04,36.89,35.93,36.8,27907397,0.0
2016-12-14,36.75,36.89,36.46,36.555,24881609,0.0
2016-12-15,36.74,37.16,36.53,36.79,18351937,0.0
2016-12-16,36.77,36.87,36.085,36.325,23640757,0.0
2016-12-19,36.34,36.95,36.27,36.91,15298099,0.0
2016-12-20,36.95,37.24,36.89,37.2,13344628,0.0
2016-12-21,37.25,37.345,36.91,36.98,9857514,0.0
2016-12-22,37.23,37.24,36.81,36.92,8826887,0.0
2016-12-23,36.93,36.98,36.7709,36.97,4745504,0.0
2016-12-27,36.91,37.33,36.91,37.07,7208577,0.0
2016-12-28,37.1,37.2,36.58,36.62,8530720,0.0
2016-12-29,36.51,36.72,36.43,36.66,6924587,0.0
2016-12-30,36.79,36.8,36.2,36.29,12698812,0.0
2017-01-03,36.61,36.93,36.27,36.59,16608628,0.0
2017-01-04,36.71,36.77,36.34,36.42,12506621,0.0
2017-01-05,36.45,36.72,36.305,36.35,11598890,0.0
2017-01-06,36.46,36.68,36.19,36.5,11511331,0.0
2017-01-09,36.48,36.885,36.4776,36.61,16619483,0.0
2017-01-10,36.55,36.93,36.53,36.5499,13394268,0.0
2017-01-11,36.51,37,36.51,36.94,16283853,0.0
2017-01-12,36.83,36.83,36.32,36.7,17634852,0.0
2017-01-13,36.71,36.86,36.62,36.78,11250877,0.0
2017-01-17,36.67,36.83,36.59,36.8,15220502,0.0
2017-01-18,36.89,37.01,36.61,36.76,12548363,0.0
2017-01-19,36.51,36.91,36.51,36.57,10875578,0.0
2017-01-20,36.76,37.03,36.58,36.93,18218138,0.0
2017-01-23,37.07,37.21,36.55,36.78,21874675,0.0
2017-01-24,36.83,37.74,36.81,37.61,28667679,0.0
2017-01-25,37.87,38,37.515,37.8,27085762,0.0
2017-01-26,37.81,37.925,37.42,37.55,26508353,0.0
2017-01-27,37.99,38.45,37.81,37.98,38954668,0.0
2017-01-30,37.77,37.84,37.33,37.4,20929184,0.0
2017-01-31,37.22,37.37,36.6401,36.83,20761579,0.0
2017-02-01,36.82,36.95,36.02,36.51,24213324,0.0
2017-02-02,36.26,36.7,36.2,36.68,28511097,0.0
2017-02-03,36.69,36.82,36.45,36.515,16176672,0.0
2017-02-06,36.51,36.51,36.15,36.26,16225329,0.0
2017-02-07,36.45,36.52,36.24,36.35,16306666,0.0
2017-02-08,36.34,36.65,36.14,36.38,18109882,0.0
2017-02-09,36.5,36.5,35.4,35.45,43004427,0.0
2017-02-10,35.34,35.43,34.84,35.34,39944331,0.0
2017-02-13,35.57,35.85,35.34,35.8,17326476,0.0
2017-02-14,35.9,35.96,35.53,35.93,18570804,0.0
2017-02-15,35.98,36.06,35.67,36.05,15263915,0.0
2017-02-16,36.18,36.56,36.1,36.4,17495714,0.0
2017-02-17,36.32,36.48,36.1,36.48,14739226,0.0
2017-02-21,36.52,36.65,36.33,36.51,15815556,0.0
2017-02-22,36.34,36.3964,35.79,36.07,25903886,0.0
2017-02-23,36.18,36.3,35.9,36.18,17299425,0.0
2017-02-24,36.11,36.53,35.95,36.53,14939015,0.0
2017-02-27,36.42,36.68,36.27,36.51,11736271,0.0
2017-02-28,36.42,36.445,36,36.2,18504617,0.0
2017-03-01,35.85,36.1,35.44,35.92,28306425,0.0
2017-03-02,35.92,36.02,35.65,35.9,19277441,0.0
2017-03-03,35.94,36.085,35.67,35.89,15183432,0.0
2017-03-06,35.79,35.8,35.42,35.57,20413921,0.0
2017-03-07,35.47,35.8,35.385,35.8,19095597,0.0
2017-03-08,35.69,35.9,35.525,35.62,17608043,0.0
2017-03-09,35.6,35.94,35.5,35.83,20003624,0.0
2017-03-10,36.1,36.295,35.78,35.91,17889205,0.0
2017-03-13,35.85,36.04,34.94,35.16,46136083,0.0
2017-03-14,35.06,35.23,34.66,35.17,24726458,0.0
2017-03-15,34.94,35.17,34.68,35.1,23399510,0.0
2017-03-16,35.12,35.36,35.07,35.14,16738097,0.0
2017-03-17,35.26,35.33,35.1,35.27,22807820,0.0
2017-03-20,35.37,35.63,35.26,35.44,13934868,0.0
2017-03-21,35.59,35.6,35,35.04,18773671,0.0
2017-03-22,35.16,35.46,35,35.37,15568172,0.0
2017-03-23,35.49,35.49,35.02,35.27,17212765,0.0
2017-03-24,35.65,35.73,35.12,35.17,18676647,0.0
2017-03-27,35.07,35.5,34.94,35.39,14374476,0.0
2017-03-28,35.34,35.71,35.21,35.6,15815027,0.0
2017-03-29,35.52,35.7,35.435,35.57,13815740,0.0
2017-03-30,35.53,35.89,35.52,35.755,13679664,0.0
2017-03-31,35.77,36.25,35.74,36.07,15866296,0.0
2017-04-03,36.19,36.74,36.12,36.17,27094251,0.0
2017-04-04,36.12,36.375,35.99,36.28,15660987,0.0
2017-04-05,36.43,36.76,36.17,36.21,18447376,0.0
2017-04-06,36.14,36.285,36.03,36.035,14208591,0.0
2017-04-07,36.07,36.32,35.985,36.03,11164810,0.0
2017-04-10,36.04,36.09,35.61,35.8,12991723,0.0
2017-04-11,35.77,35.79,35.21,35.74,19548149,0.0
2017-04-12,35.87,36.01,35.5,35.635,13641639,0.0
2017-04-13,35.55,35.76,35.25,35.25,13136247,0.0
2017-04-17,35.44,35.59,35.33,35.48,9610847,0.0
2017-04-18,35.43,35.81,35.295,35.77,10419778,0.0
2017-04-19,35.97,36.22,35.89,35.91,12976584,0.0
2017-04-20,36.18,36.2653,35.86,36.18,17681365,0.0
2017-04-21,36.2,36.42,35.85,36.32,16530106,0.0
2017-04-24,36.67,36.85,36.46,36.76,17719135,0.0
2017-04-25,36.77,37,36.66,36.88,18357888,0.0
2017-04-26,36.78,37.23,36.78,36.935,23768169,0.0
2017-04-27,36.94,37.5,36.78,37.47,32497664,0.0
2017-04-28,36.04,36.485,35.88,36.15,44668125,0.0
2017-05-01,36.11,36.4,35.94,36.32,21579395,0.0
2017-05-02,36.37,37.03,36.35,36.95,30028787,0.0
2017-05-03,36.72,37.17,36.62,36.965,17835889,0.0
2017-05-04,36.99,37.11,36.64,36.85,13553195,0.0
2017-05-05,36.86,36.93,36.5,36.815,14182341,0.0
2017-05-08,36.73,36.85,36.48,36.53,13423656,0.0
2017-05-09,36.52,36.75,36.28,36.37,14198529,0.0
