Date,Open,High,Low,Close,Volume,OpenInterest
2018-07-09,123.25,123.77,122.43,123.72,3604983,0.0
2018-07-10,20.5,22.39,20.46,22.17,20612187,0.0
2018-07-11,21.85,24.4,21.85,24.01,23676514,0.0
2018-07-12,24.05,25.25,24.04,25,9931501,0.0
2018-07-13,24.86,24.95,23.83,24.24,7571524,0.0
2018-07-16,24.83,25,24.56,24.79,6847464,0.0
2018-07-17,24.9,25.08,24.77,24.96,3916680,0.0
2018-07-18,25.03,25.03,24.53,24.79,3841867,0.0
2018-07-19,24.77,24.79,24.23,24.41,3910930,0.0
2018-07-20,24.55,24.81,24.34,24.59,3159436,0.0
2018-07-23,24.6,24.86,24.26,24.29,2712105,0.0
2018-07-24,24.33,24.44,24.17,24.295,2735657,0.0
2018-07-25,24.64,24.73,24.33,24.33,2330681,0.0
2018-07-26,24.46,24.72,24.357,24.52,2044304,0.0
2018-07-27,24.45,24.479,24.06,24.16,1175356,0.0
2018-07-30,24.2,24.3,23.97,24.02,2244964,0.0
2018-07-31,23.96,24.07,23.81,24.01,1596617,0.0
2018-08-01,24.07,24.33,23.88,24.2,1954813,0.0
2018-08-02,24.28,24.37,23.8618,23.9,1473620,0.0
2018-08-03,24.03,24.16,23.81,24.04,2370329,0.0
2018-08-06,24.16,24.16,23.84,23.92,1286257,0.0
2018-08-07,23.9,23.9,23.71,23.84,1407662,0.0
2018-08-08,24.01,24.39,23.65,23.68,2026296,0.0
2018-08-09,23.77,23.97,23.6,23.84,1421058,0.0
2018-08-10,23.85,23.85,23.6,23.7,991448,0.0
2018-08-13,23.87,23.99,23.71,23.74,1156658,0.0
2018-08-14,23.4,23.74,23.36,23.61,2424115,0.0
2018-08-15,23.5,23.59,23.3,23.35,2701811,0.0
2018-08-16,23.45,23.67,23.4,23.59,2326091,0.0
2018-08-17,23.48,23.64,23.341,23.62,1523612,0.0
2018-08-20,23.46,23.64,23.32,23.36,997499,0.0
2018-08-21,23.43,23.47,22.9,23.01,1595612,0.0
2018-08-22,23.02,23.41,22.91,23.12,1890242,0.0
2018-08-23,23.24,23.46,23.1599,23.21,1742404,0.0
2018-08-24,23.44,23.44,23.27,23.4,1611169,0.0
2018-08-27,23.31,23.39,23.08,23.11,1394376,0.0
2018-08-28,23.13,23.1763,22.76,22.94,1675965,0.0
2018-08-29,22.91,23.03,22.75,22.8,1607799,0.0
2018-08-30,23,23.24,22.92,23,1964151,0.0
2018-08-31,23.04,23.096,22.74,22.8,1548408,0.0
2018-09-04,22.79,23.11,22.64,22.65,3295724,0.0
2018-09-05,22.61,23.17,22.51,22.95,3670028,0.0
2018-09-06,23.06,23.09,22.8,22.99,2215889,0.0
2018-09-07,22.86,22.99,22.77,22.88,2798041,0.0
2018-09-10,22.9,23.23,22.89,23.095,2488100,0.0
2018-09-11,23.1,23.2,23.01,23.18,1737882,0.0
2018-09-12,23.26,24.01,23.23,24.01,3092874,0.0
2018-09-13,23.95,24.14,23.77,24.13,1522955,0.0
2018-09-14,24.13,24.47,24.08,24.47,1767276,0.0
2018-09-17,24.38,24.4,23.5,23.53,2362989,0.0
2018-09-18,23.53,23.71,23.48,23.56,1470223,0.0
2018-09-19,23.66,23.67,23.45,23.56,1471754,0.0
2018-09-20,23.51,23.89,23.42,23.65,1575990,0.0
2018-09-21,23.66,23.86,23.57,23.79,1363289,0.0
2018-09-24,23.74,23.74,23.42,23.53,1462570,0.0
2018-09-25,23.55,23.6,23.27,23.53,1607536,0.0
2018-09-26,23.59,23.62,23.355,23.43,1684200,0.0
2018-09-27,23.35,23.38,23.08,23.11,1068190,0.0
2018-09-28,23.13,23.24,23.06,23.18,1468727,0.0
2018-10-01,23.29,23.35,22.85,23.1,1757067,0.0
2018-10-02,22.98,23.0485,22.77,22.82,1367105,0.0
2018-10-03,22.8,22.91,22.72,22.83,1382006,0.0
2018-10-04,22.68,22.7,22.325,22.4,1176084,0.0
2018-10-05,22.35,22.44,22.19,22.26,1531143,0.0
2018-10-08,22.33,22.59,22.27,22.57,1123485,0.0
2018-10-09,22.41,22.98,22.39,22.96,1977564,0.0
2018-10-10,23.12,23.575,22.91,23.525,4600529,0.0
2018-10-11,23.49,23.49,22.61,22.79,3347619,0.0
2018-10-12,22.87,23.145,22.51,23.05,2426382,0.0
2018-10-15,23.09,23.41,22.98,23.31,1340087,0.0
2018-10-16,23.42,24.08,23.28,23.89,1607456,0.0
2018-10-17,23.87,24.06,23.77,23.93,1452991,0.0
