Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-10,74.52,75.09,73.22,73.42,4415256,0.0
2016-11-11,73.15,73.865,72.75,73.39,2514508,0.0
2016-11-14,73.5,77.81,73.46,77.24,6488219,0.0
2016-11-15,77,77.85,76.74,77.72,3104855,0.0
2016-11-16,77.39,78.18,77.28,77.57,2118119,0.0
2016-11-17,77.51,78.03,77.23,77.47,1898606,0.0
2016-11-18,77.42,77.64,77.04,77.14,1294491,0.0
2016-11-21,77.04,77.82,76.88,77.31,1854690,0.0
2016-11-22,77.38,77.98,77.16,77.85,1483764,0.0
2016-11-23,77.6,78.12,77.33,78.08,1340593,0.0
2016-11-25,78.1,78.9,77.26,78.52,868951,0.0
2016-11-28,77.55,78.52,77.03,78.07,2317571,0.0
2016-11-29,78.09,79.58,78.09,79.11,2695521,0.0
2016-11-30,79.08,79.385,78.03,78.78,2645985,0.0
2016-12-01,78.47,80.29,78.47,79.82,2987135,0.0
2016-12-02,79.18,80.27,78.79,79.2,2274729,0.0
2016-12-05,80.51,81.25,80.04,81.005,2922918,0.0
2016-12-06,81,82.1,80.67,82.08,2414698,0.0
2016-12-07,82.12,84.27,81.86,83.92,3358472,0.0
2016-12-08,84.08,84.59,83.145,83.49,2236989,0.0
2016-12-09,83.98,83.98,83.07,83.55,1992190,0.0
2016-12-12,83.43,83.98,82.76,83.91,1500555,0.0
2016-12-13,84,84.96,83.865,84.4,2011018,0.0
2016-12-14,84.55,85.05,83.76,83.94,1581110,0.0
2016-12-15,84.46,85.347,83.92,84.33,2617046,0.0
2016-12-16,84.89,86.15,84.3,86.02,5683402,0.0
2016-12-19,85.79,86,84.71,84.87,2624176,0.0
2016-12-20,85.27,85.77,84.8075,85.11,2048903,0.0
2016-12-21,85.07,85.45,84.75,84.85,1495609,0.0
2016-12-22,84.97,85,83.33,83.73,1949566,0.0
2016-12-23,83.73,84.17,83.6,84.1,1893533,0.0
2016-12-27,84.5,84.69,83.95,84.14,1113456,0.0
2016-12-28,84.41,84.495,83.305,83.36,1147026,0.0
2016-12-29,83.57,83.74,83.11,83.32,1102679,0.0
2016-12-30,83.48,83.61,82.5382,82.67,1698534,0.0
2017-01-03,83.35,83.85,81.71,82.51,2448787,0.0
2017-01-04,82.74,83.395,82.25,82.35,2875053,0.0
2017-01-05,82.07,83.07,81.66,81.775,2154047,0.0
2017-01-06,81.79,83.02,81.325,82.3,1954284,0.0
2017-01-09,82.05,82.7,81.6,82.25,1578483,0.0
2017-01-10,82.09,82.42,81.66,81.93,1747775,0.0
2017-01-11,82.28,83.42,81.8,82.83,2362492,0.0
2017-01-12,82.69,82.76,81.04,81.89,1861454,0.0
2017-01-13,81.93,82.65,81.93,82.64,1381311,0.0
2017-01-17,82.57,82.9,82.21,82.38,1700840,0.0
2017-01-18,82.41,83.095,82.07,83,1152781,0.0
2017-01-19,83.72,85.29,83.72,84.53,2964751,0.0
2017-01-20,84.87,85.76,84.16,84.37,1869725,0.0
2017-01-23,84.15,84.53,83.82,84.38,957148,0.0
2017-01-24,84.35,84.97,84.02,84.51,1101111,0.0
2017-01-25,84.79,85.7,84.535,85.6,1445258,0.0
2017-01-26,85.79,86.24,85.54,85.83,1823391,0.0
2017-01-27,85.97,86.32,85.53,86.08,1402655,0.0
2017-01-30,85.83,85.83,84.585,85.24,1907717,0.0
2017-01-31,85.24,85.24,84.36,84.59,1714593,0.0
2017-02-01,84.49,85.21,84.27,84.64,1771535,0.0
2017-02-02,84.4,84.81,83.81,84.5,1475296,0.0
2017-02-03,84.77,85.52,84.77,85.44,1043990,0.0
2017-02-06,85.46,85.73,85.2029,85.63,970167,0.0
2017-02-07,85.64,86.335,85.55,85.81,1246762,0.0
2017-02-08,85.72,86.48,85.3725,86.36,1579620,0.0
2017-02-09,86.56,86.97,86.26,86.79,1974949,0.0
2017-02-10,86.99,86.99,86.44,86.45,1578016,0.0
2017-02-13,86.93,87.42,86.585,87.37,1243237,0.0
2017-02-14,87.31,87.91,87.06,87.89,1795911,0.0
2017-02-15,87.57,89.45,87.27,89.42,2930798,0.0
2017-02-16,89.1,91.07,88.5,89.44,2886530,0.0
2017-02-17,89.28,89.66,87.24,89.36,3503778,0.0
2017-02-21,88.54,88.87,87.74,87.99,3008790,0.0
2017-02-22,87.7,88.03,87.61,87.67,1479166,0.0
2017-02-23,87.82,87.99,86.96,87,1621996,0.0
2017-02-24,87.03,87.59,86.8,87.08,2047469,0.0
2017-02-27,86.97,87.65,86.75,87.45,1190304,0.0
2017-02-28,87.31,87.749,86.89,86.97,1954609,0.0
2017-03-01,87.5,88.93,87.38,88.49,2068229,0.0
2017-03-02,88.2,88.2,87.22,87.51,2498817,0.0
2017-03-03,87.34,87.6936,86.42,86.79,1623162,0.0
2017-03-06,86.58,87.0313,86.06,86.72,1710271,0.0
2017-03-07,86.66,86.84,85.93,86.15,1539578,0.0
2017-03-08,85.95,86.71,85.63,86.39,2252184,0.0
2017-03-09,86.44,87.11,86.05,86.31,1471776,0.0
2017-03-10,86.98,87.02,86.03,86.62,1682077,0.0
2017-03-13,86.59,87.08,86.42,87.04,1006956,0.0
2017-03-14,86.86,86.86,86.25,86.27,1012671,0.0
2017-03-15,86.71,88.09,86.67,87.81,1563289,0.0
2017-03-16,87.82,88.5,87.35,88.06,1404271,0.0
2017-03-17,88.39,88.49,87.89,88.33,1573495,0.0
2017-03-20,88.34,89.23,88.31,88.67,1650083,0.0
2017-03-21,90.02,91.57,88.67,89.1,4318645,0.0
2017-03-22,89.27,92.26,89.05,92.14,3917622,0.0
2017-03-23,92.14,93.69,92.08,93.15,2920904,0.0
2017-03-24,93.5,93.86,93.25,93.5,1810388,0.0
2017-03-27,92.99,93.53,92.4525,93.18,1674530,0.0
2017-03-28,93.17,94.99,93.06,94.49,1809993,0.0
2017-03-29,94.01,94.7,93.86,94.59,1093871,0.0
2017-03-30,94.49,95.42,94.4,94.63,1718253,0.0
