Date,Open,High,Low,Close,Volume,OpenInterest
2016-08-24,0.145,0.145,0.1271,0.135,23188,0.0
2016-08-25,0.13,0.13,0.1271,0.1271,22209,0.0
2016-08-26,0.1271,0.145,0.1271,0.1449,7035,0.0
2016-08-29,0.145,0.145,0.1285,0.1285,4025,0.0
2016-08-30,0.12855,0.145,0.12855,0.13755,479,0.0
2016-08-31,0.1271,0.14,0.125,0.14,12564,0.0
2016-09-01,0.1301,0.1301,0.1301,0.1301,31,0.0
2016-09-02,0.125,0.135,0.125,0.125,11338,0.0
2016-09-06,0.125,0.145,0.125,0.13,52184,0.0
2016-09-07,0.1301,0.1375,0.13,0.1301,1177,0.0
2016-09-08,0.13,0.135,0.13,0.1336,5337,0.0
2016-09-09,0.13,0.13,0.1275,0.13,99675,0.0
2016-09-12,0.125,0.14,0.125,0.135,24350,0.0
2016-09-13,0.135,0.14,0.125,0.14,41272,0.0
2016-09-14,0.1251,0.14,0.1251,0.135,16512,0.0
2016-09-15,0.13,0.13,0.13,0.13,3750,0.0
2016-09-16,0.13,0.13,0.127,0.127,61883,0.0
2016-09-19,0.127,0.136,0.127,0.127,6750,0.0
2016-09-20,0.125,0.1449,0.125,0.138,85365,0.0
2016-09-21,0.1251,0.15,0.121,0.126,353299,0.0
2016-09-22,0.129,0.15,0.129,0.15,10239,0.0
2016-09-23,0.1295,0.15,0.1285,0.15,22362,0.0
2016-09-26,0.1301,0.1301,0.1301,0.1301,50,0.0
2016-09-27,0.13,0.1479,0.1281,0.1325,146137,0.0
2016-09-28,0.13,0.135,0.13,0.135,30009,0.0
2016-09-29,0.13,0.135,0.13,0.1325,15047,0.0
2016-09-30,0.13,0.13,0.125,0.13,101089,0.0
2016-10-03,0.13,0.13,0.1275,0.1275,1062,0.0
2016-10-04,0.12875,0.13,0.1275,0.1275,14575,0.0
2016-10-05,0.1275,0.13,0.1275,0.13,4440,0.0
2016-10-06,0.1275,0.13,0.123,0.123,154803,0.0
2016-10-07,0.125,0.128,0.122,0.126,36975,0.0
2016-10-10,0.122,0.1245,0.11355,0.11355,54334,0.0
2016-10-11,0.125,0.14,0.113,0.125,74980,0.0
2016-10-12,0.1133,0.127,0.1133,0.125,15225,0.0
2016-10-13,0.1231,0.1231,0.103,0.1096,170671,0.0
2016-10-14,0.11,0.1199,0.105,0.1125,46241,0.0
2016-10-17,0.105249,0.11,0.1046,0.11,65332,0.0
2016-10-18,0.1047,0.11,0.08,0.1059,278960,0.0
2016-10-19,0.1,0.1049,0.09,0.1049,45843,0.0
2016-10-20,0.1028,0.1088,0.1,0.1088,24949,0.0
2016-10-21,0.1,0.109,0.09,0.1,73134,0.0
2016-10-24,0.0951,0.1023,0.095,0.0951,12153,0.0
2016-10-25,0.095,0.101,0.095,0.095,28768,0.0
2016-10-26,0.09,0.0995,0.09,0.09,60729,0.0
2016-10-27,0.0901,0.1,0.09,0.1,25972,0.0
2016-10-28,0.1,0.1,0.0901,0.0995,20095,0.0
2016-10-31,0.09,0.1,0.09,0.09,3032,0.0
2016-11-01,0.0945,0.0945,0.09,0.0938,5009,0.0
2016-11-02,0.095,0.095,0.09485,0.09485,256,0.0
2016-11-03,0.1,0.1,0.09,0.1,4037,0.0
2016-11-04,0.09,0.1,0.0851,0.09,39709,0.0
2016-11-07,0.09,0.0995,0.085,0.09,17210,0.0
2016-11-08,0.0866,0.1,0.0851,0.099,13186,0.0
2016-11-09,0.0922,0.0929,0.085,0.085,6132,0.0
2016-11-10,0.0925,0.1,0.0925,0.1,3282,0.0
2016-11-11,0.085,0.1,0.085,0.091,32399,0.0
2016-11-14,0.091,0.1075,0.091,0.1,140866,0.0
2016-11-15,0.095,0.1,0.095,0.1,11158,0.0
2016-11-16,0.11,0.12,0.09,0.1,216311,0.0
2016-11-17,0.1,0.1,0.09,0.0995,53156,0.0
2016-11-18,0.094275,0.1,0.09,0.1,87076,0.0
2016-11-21,0.1,0.1,0.09,0.096,37279,0.0
2016-11-22,0.096,0.13,0.09,0.1101,21907,0.0
2016-11-23,0.1061,0.1061,0.0755,0.099,462505,0.0
2016-11-25,0.099,0.125,0.099,0.125,140650,0.0
2016-11-28,0.123,0.125,0.101,0.1199,39345,0.0
2016-11-29,0.10978,0.1199,0.1085,0.115,5352,0.0
2016-11-30,0.102,0.1115,0.101,0.11,109543,0.0
2016-12-01,0.11,0.1399,0.1033,0.136,147956,0.0
2016-12-02,0.12,0.2108,0.12,0.19,453665,0.0
2016-12-05,0.1725,0.19,0.14,0.14,101590,0.0
2016-12-06,0.14,0.2,0.14,0.1719,159506,0.0
2016-12-07,0.16,0.16,0.13,0.145,255399,0.0
2016-12-08,0.1836,0.1836,0.13,0.1579,400865,0.0
2016-12-09,0.15596,0.158,0.15,0.155,38382,0.0
2016-12-12,0.1501,0.175,0.15,0.1653,80223,0.0
2016-12-13,0.152,0.2,0.152,0.19,364058,0.0
2016-12-14,0.1901,0.24,0.19,0.23,460053,0.0
2016-12-15,0.24,0.24,0.1901,0.2,104715,0.0
2016-12-16,0.21,0.21,0.171,0.19,8990,0.0
2016-12-19,0.171,0.18,0.15,0.18,43341,0.0
2016-12-20,0.17,0.19,0.17,0.1801,20303,0.0
2016-12-21,0.17,0.18,0.1301,0.1301,70990,0.0
2016-12-22,0.13,0.153,0.13,0.15,68714,0.0
2016-12-23,0.13,0.1597,0.13,0.14,21838,0.0
2016-12-27,0.155,0.1778,0.131,0.14,140110,0.0
2016-12-28,0.1311,0.1699,0.131,0.141,71342,0.0
2016-12-29,0.1311,0.1521,0.1311,0.14,126143,0.0
2016-12-30,0.14,0.15,0.14,0.15,39152,0.0
2017-01-03,0.14,0.169,0.14,0.169,46468,0.0
2017-01-04,0.141,0.22,0.141,0.1762,232592,0.0
2017-01-05,0.176,0.2,0.17,0.1835,155775,0.0
2017-01-06,0.1701,0.185,0.151,0.1749,111688,0.0
2017-01-09,0.152,0.19,0.152,0.19,44014,0.0
2017-01-10,0.19,0.19,0.1751,0.1751,18693,0.0
2017-01-11,0.185,0.185,0.175,0.175,10691,0.0
2017-01-12,0.1805,0.1805,0.155249,0.155249,21079,0.0
2017-01-13,0.1552,0.1699,0.1421,0.1699,76975,0.0
2017-01-17,0.17,0.17,0.15,0.15,49535,0.0
2017-01-18,0.15,0.17,0.15,0.1526,24263,0.0
2017-01-19,0.162,0.17,0.162,0.1621,4497,0.0
2017-01-20,0.161,0.161,0.15675,0.1568,17634,0.0
2017-01-23,0.162,0.162,0.1535,0.1578,2824,0.0
2017-01-24,0.1578,0.1578,0.1461,0.1531,41257,0.0
2017-01-25,0.16,0.16,0.1475,0.1475,12000,0.0
2017-01-26,0.1475,0.15,0.14,0.15,21475,0.0
2017-01-27,0.15,0.15,0.143,0.143,20520,0.0
2017-01-30,0.17,0.17,0.121,0.13,123804,0.0
2017-01-31,0.125,0.13,0.1221,0.13,110665,0.0
2017-02-01,0.135,0.1395,0.135,0.135,2023,0.0
2017-02-02,0.141,0.159,0.141,0.1451,58000,0.0
