Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-09,38.73,39.705,38.5,39.51,1620091,0.0
2016-11-10,39.67,39.955,38.42,38.77,2394102,0.0
2016-11-11,38.85,39.13,38.64,38.94,2288822,0.0
2016-11-14,39,39.14,38.565,38.89,1870379,0.0
2016-11-15,38.9,39.47,38.83,39.41,1945992,0.0
2016-11-16,39.2,39.9,39.2,39.78,1464723,0.0
2016-11-17,39.63,39.91,39.45,39.74,1404644,0.0
2016-11-18,39.6,40.49,39.6,40.09,1835822,0.0
2016-11-21,39.96,40.39,39.74,40.34,1281580,0.0
2016-11-22,40.5,40.935,40.02,40.07,2442534,0.0
2016-11-23,40.12,40.3,39.85,39.95,1327628,0.0
2016-11-25,39.93,40.25,39.79,40.19,436292,0.0
2016-11-28,40.01,40.385,39.72,39.94,1342165,0.0
2016-11-29,39.5,39.92,39.251,39.75,1372473,0.0
2016-11-30,39.89,40.09,39.2,39.27,1374282,0.0
2016-12-01,39.19,39.84,37.6,37.77,2499455,0.0
2016-12-02,37.76,38.16,37.32,37.87,2354673,0.0
2016-12-05,38.07,38.37,37.885,38.24,1365310,0.0
2016-12-06,38.41,38.75,38.36,38.58,1248756,0.0
2016-12-07,38.57,39.53,38.445,39.37,1544810,0.0
2016-12-08,39.42,39.78,39.36,39.44,1003814,0.0
2016-12-09,39.54,39.83,39.08,39.15,1106394,0.0
2016-12-12,38.97,39.125,38.365,38.73,872845,0.0
2016-12-13,38.77,39.21,38.64,38.93,1255053,0.0
2016-12-14,39.01,39.24,38.55,38.64,1473430,0.0
2016-12-15,38.99,39.39,38.71,39.23,1364920,0.0
2016-12-16,39.25,39.32,38.68,38.83,1129162,0.0
2016-12-19,38.84,39.16,38.785,39.06,1148878,0.0
2016-12-20,39.07,39.36,38.99,39.25,1011648,0.0
2016-12-21,39.17,39.49,39.12,39.17,906741,0.0
2016-12-22,39.36,39.4,38.9,39.16,763681,0.0
2016-12-23,39.02,39.34,38.94,39.26,607211,0.0
2016-12-27,39.32,39.74,39.28,39.4,575205,0.0
2016-12-28,39.51,39.59,38.945,38.96,861453,0.0
