Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-09,254.28,265.19,250.069,264.15,815359,0.0
2016-11-10,264,266.44,261.08,262.54,630913,0.0
2016-11-11,261.43,264.51,261.05,262.8,687811,0.0
2016-11-14,263.16,264.17,261.035,262.13,1201790,0.0
2016-11-15,268.11,269.21,263.41,268.05,930952,0.0
2016-11-16,267.14,269.98,265.56,269.9,624835,0.0
2016-11-17,268.38,272.29,267.95,270.98,653028,0.0
2016-11-18,269.75,272.19,264.92,265.77,666359,0.0
2016-11-21,265.75,270.67,265.575,270.01,618641,0.0
2016-11-22,271.68,275.17,270.065,275.02,609768,0.0
2016-11-23,275.29,277.69,273.4,275.47,633120,0.0
2016-11-25,275,279,274.925,276.55,241941,0.0
2016-11-28,276.71,279.36,274.38,274.635,348429,0.0
2016-11-29,274.63,278.205,274.335,275.5,386141,0.0
2016-11-30,275.72,276.44,274.14,274.5,570535,0.0
2016-12-01,273.62,276.19,272.42,273.06,540220,0.0
2016-12-02,273.27,275.36,272.17,273.94,548891,0.0
2016-12-05,274.45,277.81,274.43,276.475,656001,0.0
2016-12-06,277.51,278.7915,276.015,277.67,362446,0.0
2016-12-07,278.23,285.45,278.1,285.2,663592,0.0
2016-12-08,284.39,285.8386,276.68,277.31,743194,0.0
2016-12-09,276.94,277.67,273.69,275.96,419669,0.0
2016-12-12,275.56,276.94,274.3,276.87,333073,0.0
2016-12-13,279.22,283.53,279.08,282.53,510329,0.0
2016-12-14,282.51,283.6853,276.25,276.82,386917,0.0
2016-12-15,276.39,282.57,275.74,278.07,408828,0.0
2016-12-16,279.45,281.13,278.355,279.3,485804,0.0
2016-12-19,279.3,284.16,278.01,283.11,479431,0.0
2016-12-20,284.31,285.71,282.56,285.14,297591,0.0
2016-12-21,285,286.57,283.78,285.54,325752,0.0
2016-12-22,285.28,285.405,282.52,282.89,539818,0.0
2016-12-23,282.88,283.785,282.07,283.22,195120,0.0
2016-12-27,283.01,284.735,283.01,283.59,331161,0.0
2016-12-28,284.3,284.99,280.24,280.67,281455,0.0
2016-12-29,281.3,282.46,280.91,281.64,257559,0.0
2016-12-30,282.56,283.37,277.37,278.28,332018,0.0
2017-01-03,280,281.07,278.06,280.81,718496,0.0
2017-01-04,280.82,282.8,279.3,282.05,340683,0.0
