Date,Open,High,Low,Close,Volume,OpenInterest
2008-01-08,9.95,9.95,9.95,9.95,5000,0.0
2008-01-16,9.96,9.96,9.96,9.96,2800,0.0
2008-01-18,9.95,9.95,9.91,9.91,3000,0.0
2008-01-24,10.01,10.01,10.01,10.01,3000,0.0
2008-01-25,10.01,10.02,10,10,3600,0.0
2008-01-29,9.97,9.97,9.96,9.96,400,0.0
2008-01-31,9.86,9.93,9.86,9.93,1200,0.0
2008-02-01,10.05,10.05,10.05,10.05,100,0.0
2008-02-05,9.91,9.97,9.91,9.97,300,0.0
2008-02-22,9.98,9.98,9.98,9.98,400,0.0
2008-02-26,9.98,9.98,9.98,9.98,3200,0.0
2008-02-27,9.99,9.99,9.99,9.99,200,0.0
2008-02-28,9.99,9.99,9.96,9.96,18700,0.0
2008-03-05,9.77,9.77,9.77,9.77,100,0.0
2008-03-10,9.75,9.75,9.45,9.45,21300,0.0
2008-03-11,9.51,9.51,9.5,9.5,16600,0.0
2008-03-12,9.75,9.75,9.75,9.75,300,0.0
2008-03-14,9.5,9.5,9.5,9.5,500,0.0
2008-03-18,9.58,9.59,9.5,9.5,9900,0.0
2008-04-02,9.6,9.6,9.6,9.6,300,0.0
2008-04-07,9.6,9.6,9.6,9.6,300,0.0
2008-04-11,9.6,9.6,9.6,9.6,3500,0.0
2008-04-18,9.66,9.66,9.66,9.66,200,0.0
2008-04-22,9.62,9.65,9.62,9.65,2200,0.0
2008-04-30,9.56,9.56,9.56,9.56,3000,0.0
2008-05-01,9.8,9.85,9.65,9.65,1888,0.0
2008-05-02,9.7,9.7,9.7,9.7,1500,0.0
2008-05-06,9.71,9.71,9.71,9.71,200,0.0
2008-05-07,9.71,9.71,9.7,9.7,11700,0.0
2008-05-08,9.66,9.66,9.65,9.65,3500,0.0
2008-05-09,9.7,9.7,9.7,9.7,500,0.0
2008-05-14,9.98,9.98,9.98,9.98,880,0.0
2008-05-15,9.98,9.98,9.98,9.98,800,0.0
2008-05-19,10.08,10.08,10.08,10.08,200,0.0
2008-05-29,9.86,9.86,9.85,9.85,5600,0.0
2008-06-02,9.95,9.95,9.95,9.95,100,0.0
2008-06-04,10.05,10.05,10.05,10.05,1500,0.0
2008-06-10,9.7,9.7,9.7,9.7,3000,0.0
2008-06-12,9.66,9.66,9.65,9.65,860,0.0
2008-06-16,9.65,9.65,9.65,9.65,100,0.0
2008-06-17,9.65,9.65,9.65,9.65,500,0.0
2008-07-02,9.5,9.5,9.5,9.5,2500,0.0
2008-07-24,9.67,9.67,9.67,9.67,1000,0.0
2008-07-28,9.7,9.7,9.7,9.7,4000,0.0
2008-08-13,9.6,9.6,9.6,9.6,431,0.0
2008-08-15,9.85,9.85,9.65,9.65,4800,0.0
2008-08-19,9.6,9.6,9.6,9.6,700,0.0
2008-08-20,9.5,9.5,9.5,9.5,500,0.0
2008-08-22,9.37,9.37,9.37,9.37,5500,0.0
2008-09-09,9.6,9.6,9.6,9.6,200,0.0
2008-09-11,9.6,9.6,9.6,9.6,600,0.0
2008-09-16,9.5,9.51,9.5,9.51,10600,0.0
2008-09-17,9.52,9.52,9.52,9.52,1200,0.0
2008-09-18,9.55,9.55,9.55,9.55,200,0.0
2008-09-19,9.56,9.56,9.56,9.56,500,0.0
2008-09-22,9.6,9.6,9.6,9.6,1211,0.0
2008-09-23,9.55,9.55,9.55,9.55,800,0.0
2008-09-25,9.55,9.55,9.55,9.55,2000,0.0
2008-09-26,9.55,9.57,9.55,9.57,2300,0.0
2008-09-29,9.57,9.57,9.5,9.5,1082,0.0
2008-10-03,9.55,9.56,9.55,9.56,21800,0.0
2008-10-06,9.4,9.4,9.4,9.4,20000,0.0
2008-10-07,9.37,9.37,9.37,9.37,3000,0.0
2008-10-08,9.4,9.4,9.4,9.4,22000,0.0
2008-10-09,9.4,9.41,9.4,9.4,30300,0.0
2008-10-21,9.4,9.4,9.4,9.4,600,0.0
2008-10-27,9.4,9.4,9.4,9.4,1320,0.0
2008-10-29,9.5,9.5,9.5,9.5,2500,0.0
2008-11-04,9.6,9.6,9.6,9.6,5000,0.0
2008-11-06,9.6,9.6,9.6,9.6,1000,0.0
2008-11-12,9.6,9.6,9.6,9.6,1500,0.0
2008-11-19,9.55,9.55,9.55,9.55,100,0.0
2008-11-20,9.6,9.6,9.6,9.6,8200,0.0
2008-11-21,9.6,9.6,9.6,9.6,19300,0.0
2008-11-25,9.66,9.66,9.6,9.66,18000,0.0
2008-12-01,9.88,9.88,9.88,9.88,5150,0.0
2008-12-03,10,10,9.75,9.92,3200,0.0
2008-12-04,9.85,9.85,9.85,9.85,6625,0.0
2008-12-10,9.74,9.74,9.74,9.74,1000,0.0
2008-12-11,9.72,9.72,9.71,9.71,40500,0.0
2008-12-18,9.85,9.85,9.85,9.85,750,0.0
2008-12-19,9.8,9.8,9.8,9.8,10000,0.0
2009-01-13,9.95,9.95,9.95,9.95,103,0.0
2009-01-15,9.85,9.85,9.85,9.85,5000,0.0
2009-01-16,9.85,9.85,9.85,9.85,12500,0.0
2009-01-21,9.62,9.62,9.62,9.62,4500,0.0
2009-01-22,9.62,9.62,9.62,9.62,1600,0.0
2009-01-26,9.6,9.6,9.6,9.6,8100,0.0
2009-01-28,9.62,9.62,9.62,9.62,4000,0.0
2009-02-03,9.56,9.59,9.56,9.59,4100,0.0
