Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-10,77.89,79.49,74.77,75.91,2580424,0.0
2016-11-11,76,77.89,74.2,74.51,3270385,0.0
2016-11-14,74.79,74.82,73.59,74.04,2042388,0.0
2016-11-15,74.18,76.25,73.725,75.93,1650684,0.0
2016-11-16,75.36,76.48,75,76.12,1241814,0.0
2016-11-17,76.15,77.975,75.688,77.95,1277074,0.0
2016-11-18,77.82,78.94,76.915,78.24,1716433,0.0
2016-11-21,78.46,79.13,78.2,78.93,1147892,0.0
2016-11-22,79.23,80.14,78.99,79.36,910016,0.0
2016-11-23,79.21,79.51,78.02,78.3,1275741,0.0
2016-11-25,78.27,78.31,76.49,77.01,976604,0.0
2016-11-28,77.06,77.84,75.82,77.3,1349214,0.0
2016-11-29,77.09,77.72,76.28,77.22,1332515,0.0
2016-11-30,77.49,77.79,76.4383,76.85,1059525,0.0
2016-12-01,76.92,77.07,71.65,71.77,3295446,0.0
2016-12-02,71.69,73.445,71.65,73.33,1472931,0.0
2016-12-05,73.72,74.98,73.49,74.82,1970026,0.0
2016-12-06,75.33,76.55,74.82,76.17,2301932,0.0
2016-12-07,75.78,77.66,74.25,77.34,1913681,0.0
2016-12-08,77.3,79.74,76.98,79.52,2217229,0.0
2016-12-09,80.6,81.04,75.65,76.93,4007983,0.0
2016-12-12,76.36,77.08,75.37,76.26,1637181,0.0
2016-12-13,76.8,77.63,75.95,76.88,1370841,0.0
2016-12-14,76.49,77,74.62,75.14,2129264,0.0
2016-12-15,75.3,77.83,74.63,77.22,1611321,0.0
2016-12-16,77.51,78.59,76.67,76.81,1286431,0.0
2016-12-19,76.95,78.33,76.91,77.44,854852,0.0
2016-12-20,77.52,77.79,76.3198,76.61,1070576,0.0
2016-12-21,76.66,77.15,76.01,77.07,1085891,0.0
2016-12-22,77.93,78.33,77,78.16,1259681,0.0
2016-12-23,78.22,78.45,77.62,78.03,638141,0.0
2016-12-27,78.01,78.83,77.66,78.32,550571,0.0
2016-12-28,78.47,78.6,76.91,77.03,794640,0.0
2016-12-29,76.74,77.12,75.63,76.58,949499,0.0
2016-12-30,76.83,76.83,74.32,74.66,1414535,0.0
2017-01-03,75.22,76.24,74.4,75.15,2112477,0.0
2017-01-04,75.46,75.655,74.5,74.99,1294933,0.0
2017-01-05,74.79,75.38,73.94,74.57,1378323,0.0
2017-01-06,74.82,75.48,74.32,74.96,1264812,0.0
2017-01-09,75.96,76.96,75.23,75.65,1853470,0.0
2017-01-10,75.69,77.52,75.66,77.33,1436140,0.0
2017-01-11,77.33,78.72,76.51,78.41,1605209,0.0
2017-01-12,76.2,76.91,74.67,76.76,3591875,0.0
2017-01-13,76.91,78.49,76.69,78.34,1600864,0.0
2017-01-17,77.74,78.43,76.485,76.89,1946262,0.0
2017-01-18,77.39,79.27,77.16,79.27,2555842,0.0
2017-01-19,78.87,79.45,78.1805,78.46,2668295,0.0
2017-01-20,84.96,88.9,84.69,88.68,14125796,0.0
2017-01-23,88.87,91.07,87.72,90.17,5590757,0.0
2017-01-24,90.31,92.74,90.31,92.27,3879634,0.0
2017-01-25,92.98,93.78,91.32,91.87,2644998,0.0
2017-01-26,92,92.64,90.94,91.01,1822483,0.0
2017-01-27,91.55,92.44,91.25,92.01,1374853,0.0
2017-01-30,91.43,93.08,90.22,92.99,2074717,0.0
2017-01-31,92.32,92.479,90.28,91.74,2004441,0.0
2017-02-01,93.54,94.49,91.31,91.75,3230070,0.0
2017-02-02,90.8,91.535,90.06,91.11,2129549,0.0
2017-02-03,91.32,91.91,90.88,91.56,979783,0.0
2017-02-06,91.45,91.58,90.71,91.379,940450,0.0
2017-02-07,91.4,92.2,91.17,91.78,988138,0.0
2017-02-08,91.61,92.34,90.94,91.69,1499517,0.0
2017-02-09,92.07,93.1299,91.24,92.47,2319104,0.0
2017-02-10,92.73,92.75,91.41,92.21,1592286,0.0
2017-02-13,92.69,93.3,92.27,92.63,1044857,0.0
2017-02-14,92.32,92.48,90.53,91.81,1308437,0.0
2017-02-15,92.02,92.61,91.25,92.12,1255946,0.0
2017-02-16,92.34,92.56,91.6,92.43,1007717,0.0
2017-02-17,92.24,96.67,91.92,96.35,4741869,0.0
2017-02-21,96.63,97.51,95.7,96.57,2124134,0.0
2017-02-22,96.49,97.17,96.04,96.69,1025379,0.0
2017-02-23,96.86,96.94,94.3,95.31,1319780,0.0
2017-02-24,94.24,95,93.02,94.7,1081648,0.0
2017-02-27,94.54,95.68,93.85,95.63,907536,0.0
2017-02-28,95.61,95.85,94,94.81,1250511,0.0
2017-03-01,95.97,97.15,94.37,96.74,1838052,0.0
2017-03-02,96.98,97.57,94.71,94.76,1786186,0.0
2017-03-03,95.03,95.32,94.16,94.91,1205011,0.0
2017-03-06,94.21,95.71,93.425,95.45,1401340,0.0
2017-03-07,95.22,95.49,94.207,95.06,1199238,0.0
2017-03-08,96.36,96.91,95.39,96.69,3646230,0.0
2017-03-09,96.21,97.67,95.06,97.14,2011992,0.0
2017-03-10,97.74,98.7,97.5,98.18,1785827,0.0
2017-03-13,98.48,99.34,98.06,99.04,1372317,0.0
2017-03-14,98.74,98.94,97.95,98.79,898956,0.0
2017-03-15,98.71,99.38,98.12,99.1,1121705,0.0
2017-03-16,99.22,99.22,98,98.11,1454680,0.0
