Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-10,49.46,49.46,45.87,46.94,2351852,0.0
2016-11-11,48.04,48.45,46.47,47.95,1417584,0.0
2016-11-14,48.42,48.42,46.42,46.48,1388463,0.0
2016-11-15,47,47.5,46.411,46.495,1466322,0.0
2016-11-16,46.28,46.747,46.05,46.47,1574900,0.0
2016-11-17,46.7,48.74,46.7,48.63,6868677,0.0
2016-11-18,48.66,49.21,47.33,47.65,1413264,0.0
2016-11-21,47.57,48.38,47.57,48.03,827839,0.0
2016-11-22,48.05,48.1387,46.96,47.28,1042649,0.0
2016-11-23,47.42,48.595,47.16,48.48,1034600,0.0
2016-11-25,48.57,49.19,48.57,48.8,303742,0.0
2016-11-28,49.16,49.28,48.3101,48.48,646713,0.0
2016-11-29,48.59,50.54,48.44,50.1,2570919,0.0
2016-11-30,50.05,50.33,48.99,49.23,2036576,0.0
2016-12-01,49,49.17,46.9645,47.23,1384717,0.0
2016-12-02,47.01,48.04,46.27,47.45,937874,0.0
2016-12-05,47.48,48.57,47.48,48.41,783191,0.0
2016-12-06,48.42,48.74,47.56,48,1109630,0.0
2016-12-07,48.04,49.14,48,49.02,688166,0.0
2016-12-08,49.25,49.99,49.16,49.66,761375,0.0
2016-12-09,49.91,50.56,49.3,49.78,655368,0.0
2016-12-12,49.76,50.16,49.5,50.06,674384,0.0
2016-12-13,50.03,51.23,50,50.85,3050343,0.0
2016-12-14,50.71,51.03,49.84,49.91,965789,0.0
2016-12-15,50.15,51.34,49.27,50.46,891292,0.0
2016-12-16,50.36,50.7,49.15,49.25,1059335,0.0
2016-12-19,49.14,49.62,48.64,49.09,569340,0.0
2016-12-20,49.09,49.96,48.84,49.92,507355,0.0
2016-12-21,50.09,50.57,49.47,49.76,552275,0.0
2016-12-22,49.88,49.88,49.17,49.25,249691,0.0
2016-12-23,49.22,49.94,49.22,49.88,258953,0.0
2016-12-27,50.14,50.53,49.45,49.73,1080744,0.0
2016-12-28,49.82,50.25,48.92,49.25,743178,0.0
2016-12-29,49.25,49.67,48.96,49.58,336779,0.0
2016-12-30,49.79,49.79,48.85,49.3,658532,0.0
2017-01-03,49.56,50.04,48.58,49.22,893812,0.0
2017-01-04,49.44,50.29,49.36,50.14,628585,0.0
2017-01-05,50.12,50.69,49.36,49.36,605526,0.0
2017-01-06,49.4,50.34,49.32,49.95,954904,0.0
2017-01-09,49.87,50.67,49.59,50.46,923920,0.0
2017-01-10,50.32,51.05,50.06,50.81,504377,0.0
2017-01-11,50.95,51.81,50.67,51.1,714797,0.0
2017-01-12,50.94,51.2,50.31,50.89,531117,0.0
2017-01-13,50.62,51.73,50.51,51.59,742386,0.0
2017-01-17,51.54,51.7,51,51.41,519961,0.0
2017-01-18,51.6,51.9,51.35,51.79,501799,0.0
2017-01-19,51.89,52.1,51.6,51.79,553917,0.0
2017-01-20,51.82,52.39,51.57,52.35,899626,0.0
2017-01-23,52.21,52.56,52.09,52.16,775509,0.0
2017-01-24,52.25,53.33,51.83,53.19,738069,0.0
2017-01-25,53.66,53.96,53.2,53.89,982805,0.0
2017-01-26,54.05,54.1963,53.65,53.75,588780,0.0
2017-01-27,54.13,54.16,53.21,53.69,793432,0.0
2017-01-30,53.51,53.65,52.88,53.51,568988,0.0
2017-01-31,53.6,53.8899,53.19,53.64,891280,0.0
2017-02-01,53.66,55.47,53.35,54.36,1500158,0.0
2017-02-02,54.18,54.81,53.87,54.8,881209,0.0
2017-02-03,55,55.47,53.8,53.92,1492362,0.0
2017-02-06,53.97,54.21,53.52,54.2,1090472,0.0
2017-02-07,54.56,54.66,53.35,53.69,1508447,0.0
2017-02-08,56.04,56.71,53.42,53.7,2730686,0.0
2017-02-09,54.06,56.13,53.84,56.02,2338007,0.0
2017-02-10,56.45,58.335,56.13,57.86,3786117,0.0
2017-02-13,57.82,58.76,57.375,58.43,2048354,0.0
2017-02-14,58.3,58.57,57.64,58.27,1314877,0.0
2017-02-15,58.16,59.56,57.85,59.43,1493620,0.0
2017-02-16,59.71,60.2,59.47,59.97,1692338,0.0
2017-02-17,60.02,60.16,58.89,59.69,1388725,0.0
2017-02-21,59.99,59.99,58.81,58.9797,1521434,0.0
2017-02-22,58.74,58.74,57.96,58.44,1709974,0.0
2017-02-23,58.33,58.38,57.07,57.85,1554332,0.0
2017-02-24,57.35,57.88,57.19,57.55,934668,0.0
2017-02-27,57.66,58.23,56.79,57.46,1605610,0.0
2017-02-28,57.28,57.73,56.96,56.98,765204,0.0
2017-03-01,57.16,59.07,57.12,58.795,1610901,0.0
2017-03-02,58.71,58.74,57.77,57.89,566252,0.0
2017-03-03,57.87,58.37,57.41,58.12,654312,0.0
2017-03-06,58.12,59.05,58.0001,58.75,943051,0.0
2017-03-07,59.12,59.5186,58.82,59.195,1112889,0.0
2017-03-08,59.35,59.79,59.17,59.31,829872,0.0
2017-03-09,59.43,59.78,58.98,59.18,588729,0.0
2017-03-10,59.62,59.83,58.95,58.99,1442666,0.0
2017-03-13,59.42,59.96,59.24,59.49,1195633,0.0
2017-03-14,59.14,59.71,59.11,59.245,649095,0.0
2017-03-15,59.39,59.46,58.23,59,1317746,0.0
2017-03-16,59.1,59.3,58.3999,58.51,677274,0.0
2017-03-17,58.46,58.84,57.99,58.02,1863832,0.0
2017-03-20,58.21,58.465,57.62,57.88,1029157,0.0
2017-03-21,57.95,58.1,56.5,56.59,1426814,0.0
2017-03-22,56.62,57.6,56.59,57.58,1121034,0.0
2017-03-23,57.57,57.96,57.32,57.71,588298,0.0
2017-03-24,57.7,59.02,57.7,58.12,916730,0.0
2017-03-27,57.42,58.86,57.33,58.57,1034912,0.0
2017-03-28,58.48,59.075,58.26,58.82,1079377,0.0
2017-03-29,58.6,59.05,58.3311,58.79,858898,0.0
2017-03-30,58.66,59.05,58.66,58.89,914247,0.0
2017-03-31,58.86,59.44,58.16,59.27,966851,0.0
2017-04-03,59.15,59.73,58.34,58.74,1023939,0.0
2017-04-04,58.55,58.73,57.75,57.85,1034354,0.0
2017-04-05,57.93,58.73,57.76,57.86,935808,0.0
2017-04-06,57.83,58.38,57.49,58.05,1113536,0.0
2017-04-07,57.82,58.525,57.55,58.48,660766,0.0
2017-04-10,58.54,58.83,58.15,58.43,824271,0.0
2017-04-11,58.3,58.6,57.74,58.41,784778,0.0
2017-04-12,58.24,58.35,57.78,57.87,771953,0.0
2017-04-13,57.78,58.19,57.36,57.545,857653,0.0
2017-04-17,57.55,58.77,57.55,58.55,707743,0.0
2017-04-18,58.43,59.435,58.212,59.4,1073751,0.0
2017-04-19,59.47,60.725,59.34,60.455,1706903,0.0
2017-04-20,60.78,62.15,60.43,62.035,1615259,0.0
2017-04-21,62.15,62.67,61.95,62.28,1357990,0.0
2017-04-24,63.28,63.28,62.52,62.55,1168759,0.0
2017-04-25,63.07,63.25,62.44,62.63,1002898,0.0
2017-04-26,62.78,62.95,62.31,62.78,561884,0.0
2017-04-27,63.12,63.63,62.69,63.15,1005722,0.0
2017-04-28,63.34,63.7,62.71,62.84,643866,0.0
2017-05-01,63.07,64.08,62.72,63.98,873308,0.0
2017-05-02,63.98,64.11,63.5784,64.09,461109,0.0
2017-05-03,63.8,64.03,63.44,63.99,688750,0.0
2017-05-04,64.11,64.42,63.56,63.66,870828,0.0
2017-05-05,63.55,65.445,63.55,65.42,879060,0.0
2017-05-08,65.59,65.84,64.89,65.07,894914,0.0
2017-05-09,65.2,65.57,64.9,65.1,595857,0.0
2017-05-10,66.1,68.725,65.89,68.66,2704638,0.0
2017-05-11,68.64,68.66,67.49,68.6,1596636,0.0
2017-05-12,68.57,68.765,67.93,67.98,1320289,0.0
2017-05-15,68,69.305,67.85,69.27,1371924,0.0
2017-05-16,69.4,70.53,69.32,70.37,1494002,0.0
2017-05-17,69.79,69.9,66.24,66.52,2443012,0.0
2017-05-18,66.27,68.9,65.63,68.6,1165195,0.0
2017-05-19,68.4,68.78,66.7,67.58,1480392,0.0
2017-05-22,68.6,70.07,68.12,69.03,3144664,0.0
2017-05-23,72.5,76.7,71.16,72.84,10329904,0.0
2017-05-24,73.76,77.76,73.31,77.73,4616449,0.0
2017-05-25,78.8,79.58,78.01,78.53,2823851,0.0
2017-05-26,78.69,78.87,76.9,77.07,1950833,0.0
2017-05-30,76.68,76.78,75.26,76.07,2328207,0.0
2017-05-31,76.37,77.17,75.78,76.74,1330488,0.0
2017-06-01,76.77,78.5,76.76,78.12,1722714,0.0
2017-06-02,76.21,78.16,76.11,77.65,1286207,0.0
2017-06-05,77.6,78.25,77.1801,77.32,816740,0.0
2017-06-06,77.04,78.36,76.82,77.645,1117075,0.0
2017-06-07,78.57,79.92,78.39,79.78,2198427,0.0
2017-06-08,80.01,80.54,78.43,79.32,1379892,0.0
2017-06-09,79.62,80.12,73.31,75.3,3178815,0.0
2017-06-12,73.83,74.84,71.2,73.84,3749427,0.0
2017-06-13,75.27,75.4,73.37,74.62,1671008,0.0
2017-06-14,74.99,75.5699,73.3,74.38,988826,0.0
2017-06-15,72.7,74.73,72.53,74.01,1394322,0.0
