Date,Open,High,Low,Close,Volume,OpenInterest
2016-11-08,82.95,83.23,82.58,82.89,501294,0.0
2016-11-09,80.88,83.4,80.88,83.33,688014,0.0
2016-11-10,83.58,84.29,82.65,83.135,644593,0.0
2016-11-11,82.83,83.71,82.83,83.11,927340,0.0
2016-11-14,83.39,83.6,82.73,82.84,1040132,0.0
2016-11-15,83.01,83.58,82.5,82.7,1875693,0.0
2016-11-16,82.68,83.06,82.06,82.31,637307,0.0
2016-11-17,82.5,83.025,82.44,83,1024597,0.0
2016-11-18,82.83,83.53,82.82,83.17,817654,0.0
2016-11-21,83.4,83.91,83.16,83.75,556830,0.0
2016-11-22,84,84.005,83.595,83.95,669793,0.0
2016-11-23,83.79,84.76,82.5,83.89,485972,0.0
2016-11-25,83.96,84.3,83.35,84.11,379320,0.0
2016-11-28,84.17,84.85,84.07,84.15,537551,0.0
2016-11-29,84.2,84.4,83.62,83.89,525582,0.0
2016-11-30,84.19,84.415,83.03,83.08,679091,0.0
2016-12-01,83.23,83.52,81.95,82.38,701371,0.0
2016-12-02,82.42,82.66,81.6475,82.2,660252,0.0
2016-12-05,82.69,83.28,82.66,82.91,648280,0.0
2016-12-06,82.89,83.15,82.34,83.04,984123,0.0
2016-12-07,83.04,83.14,82.18,83.12,952925,0.0
2016-12-08,83.19,83.52,82.77,83.19,456650,0.0
2016-12-09,83.35,83.53,82.88,82.93,712598,0.0
2016-12-12,82.7,83.13,82.44,83.04,641525,0.0
2016-12-13,83.28,83.95,82.975,83.57,893155,0.0
2016-12-14,83.74,83.8,81.95,82.05,581882,0.0
2016-12-15,82.01,82.25,81.24,81.28,454742,0.0
2016-12-16,81.4,82.19,80.9,81.77,973957,0.0
2016-12-19,81.85,82.66,81.8401,82.11,305031,0.0
2016-12-20,82.36,82.49,82.1,82.37,215226,0.0
2016-12-21,82.37,82.985,82.37,82.43,265391,0.0
2016-12-22,82.27,82.48,81.75,82.08,205225,0.0
2016-12-23,82.01,82.41,81.87,82.11,180363,0.0
2016-12-27,82.41,82.97,81.995,82.14,213466,0.0
2016-12-28,82.42,82.53,81.53,81.67,221792,0.0
2016-12-29,81.52,82.01,81.52,81.69,241975,0.0
2016-12-30,81.99,81.99,80.96,81.17,276137,0.0
2017-01-03,81.59,82.08,81.05,81.31,326158,0.0
2017-01-04,81.28,82.01,81.23,81.97,436316,0.0
2017-01-05,81.69,82.25,81.51,81.67,266481,0.0
2017-01-06,81.52,82.4,81.43,82.38,331233,0.0
2017-01-09,82.03,82.248,81.55,81.74,266040,0.0
2017-01-10,81.72,82.33,81.42,82.26,410407,0.0
2017-01-11,82.06,82.75,81.89,82.75,307879,0.0
2017-01-12,82.76,82.76,81.63,82.31,399404,0.0
2017-01-13,82.45,82.71,82.18,82.63,188332,0.0
2017-01-17,82.45,82.45,81.41,81.55,356247,0.0
2017-01-18,81,81.16,80.21,81.07,502656,0.0
2017-01-19,80.95,81.48,80.1965,80.91,412771,0.0
2017-01-20,81.27,81.52,80.76,81.36,281735,0.0
2017-01-23,81.23,81.48,80.85,81.18,234157,0.0
2017-01-24,81.38,82.21,81.25,82.15,294071,0.0
2017-01-25,82.5,83.02,82.42,82.69,277784,0.0
2017-01-26,82.63,82.96,82.25,82.55,198518,0.0
2017-01-27,82.21,82.8099,82.13,82.68,258536,0.0
2017-01-30,82.63,82.76,82.23,82.74,194332,0.0
2017-01-31,83,83,81.95,82.65,462833,0.0
2017-02-01,82.63,82.92,81.43,81.76,370263,0.0
2017-02-02,81.53,82.2099,81.31,82.16,333216,0.0
2017-02-03,82.8,83.52,82.48,83.52,384212,0.0
2017-02-06,83.18,83.32,82.95,83.26,232693,0.0
